=== Nearest Neighbor — Sequential Scan ===
id=66804, x=114.120000, y=158.810000 for query 133
id=71614, x=116.220000, y=105.230000 for query 134
id=51271, x=106.900000, y=22.060000 for query 135
id=111723, x=4.210000, y=104.900000 for query 136
id=125903, x=92.870000, y=107.840000 for query 137
id=120257, x=168.930000, y=158.830000 for query 138
id=8306, x=145.490000, y=121.520000 for query 139
id=144933, x=194.430000, y=170.990000 for query 140
id=82677, x=135.600000, y=121.140000 for query 141
id=72474, x=190.500000, y=36.000000 for query 142
id=130685, x=161.040000, y=109.640000 for query 143
id=101212, x=179.020000, y=28.640000 for query 144
id=83245, x=173.520000, y=179.650000 for query 145
id=99569, x=199.580000, y=197.070000 for query 146
id=73821, x=189.020000, y=159.590000 for query 147
id=1527, x=15.500000, y=131.070000 for query 148
id=80903, x=174.530000, y=67.570000 for query 149
id=37385, x=45.660000, y=138.160000 for query 150
id=25490, x=64.500000, y=110.620000 for query 151
id=36329, x=151.980000, y=191.680000 for query 152
id=111359, x=192.970000, y=123.350000 for query 153
id=51015, x=142.420000, y=101.360000 for query 154
id=118921, x=22.000000, y=190.590000 for query 155
id=115694, x=122.520000, y=4.680000 for query 156
id=74302, x=132.060000, y=133.350000 for query 157
id=28687, x=111.420000, y=106.660000 for query 158
id=115263, x=47.810000, y=199.770000 for query 159
id=48403, x=143.720000, y=147.810000 for query 160
id=71740, x=142.410000, y=92.930000 for query 161
id=90566, x=127.350000, y=78.300000 for query 162
id=111796, x=123.910000, y=58.040000 for query 163
id=48416, x=164.430000, y=25.160000 for query 164
id=115823, x=117.280000, y=110.690000 for query 165
id=93705, x=117.340000, y=164.730000 for query 166
id=110994, x=145.840000, y=108.640000 for query 167
id=27590, x=128.400000, y=137.580000 for query 168
id=13285, x=140.120000, y=48.050000 for query 169
id=49614, x=99.320000, y=104.840000 for query 170
id=7217, x=165.860000, y=81.080000 for query 171
id=7122, x=161.450000, y=185.530000 for query 172
id=72970, x=107.310000, y=41.870000 for query 173
id=131623, x=58.270000, y=129.210000 for query 174
id=14164, x=182.510000, y=171.160000 for query 175
id=55158, x=102.960000, y=71.120000 for query 176
id=114026, x=70.050000, y=11.350000 for query 177
id=122974, x=188.210000, y=84.680000 for query 178
id=15708, x=70.040000, y=29.280000 for query 179
id=48418, x=160.620000, y=17.200000 for query 180
id=59422, x=142.450000, y=35.630000 for query 181
id=127067, x=172.690000, y=2.940000 for query 182
id=144164, x=69.810000, y=40.900000 for query 183
id=51725, x=73.670000, y=99.420000 for query 184
id=76863, x=96.540000, y=190.310000 for query 185
id=107485, x=138.170000, y=199.380000 for query 186
id=149501, x=185.090000, y=12.610000 for query 187
id=145307, x=38.090000, y=174.240000 for query 188
id=106536, x=89.830000, y=198.900000 for query 189
id=5618, x=3.160000, y=186.650000 for query 190
